Sik-K	GS.EI1.S.IH5.GS.AI1.K.EI4.K.EI4.Y.I2
Baby Sleep Music	BI.EI1.BI.I3.S.IH5.LI.I4.P.E5.MI.OU1.XI.I3.K
Yann Tiersen	Y.AN1.TI.I1.R.S.EN3
Shift K3Y	XU.IE1.T.PI.I4
Blank & Jones	B.LI.AN2.K.GS.AN1.JI.OG4.S.IH5
Deorro	DI.I4.GS.OU1.R.OU3
Calum Scott	G.A1.RU.UN4.S.IH5.G.A3.T.E3
Barry White	BI.IE1.R.I4.W.AI4.N
XYLØ	R.AI1.L.OU5
Sabrina	S.A3.BI.IN1.N.A3
Jazmine Sullivan	JI.IE1.S.IH5.MI.I3.SU.U1.L.E5.W.EN3
草蜢	C.AO2.M.EG3
Van Halen	W.AN1.H.A4.L.EG3
Music for Children	MI.OU1.XI.I3.K.F.O3.QI.OU1.ZH.EN3
林宇中	LI.IN2.YU.YU3.ZHU.OG1
Tame Impala	K.EI4.Y.IN1.P.A1.L.A5
Jessie J	JI.IE1.XI.I1.ZU.EI3
周慧敏	ZH.OU1.HU.EI4.MI.IN3
The Righteous Brothers	R.E4.RU.EI4.Y.I4.JU.IE3.S.IH5.BU.U2.L.A1.DI.I5
楊培安	Y.AG2.P.EI2.GS.AN1
Matoma	M.E5.T.OU1.M.A5
郭靜	GU.O1.JI.IG4
Baauer	B.A1.GS.AO1.GS.ER3
Yogee New Waves	Y.OU1.DI.I3.NI.OU1.W.EI4.S
The Naked and Famous	R.IH3.D.E5.M.EI4.K.IE4.T.GS.EN3.T.E3.F.EI1.M.E3.S
Khruangbin	K.YU1.L.AG2.BI.IN4
Nelly Furtado	NI.IE1.LI.I3.F.ER3.T.A1.D.OU3
Chace	QU.IE4.S
Låpsley	L.EI1.P.S.LI.I3
康士坦的變化球	K.AG1.SH.IH4.T.AN3.D.E5.BI.AN4.HU.A4.QI.OU2
郭美美	GU.O1.M.EI2.M.EI3
Bon Iver	B.AG1.GS.AI1.F.ER3
劉瑞琦	LI.OU2.RU.EI4.QI.I2
Matteo	M.AI1.TI.I3.GS.OU3
Teamheadkick	TI.IG2.H.A4.K.IE4.K
江志豐	JI.AG1.ZH.IH4.F.EG1
Wes Montgomery	W.EI1.S.IH5.M.EG4.G.OU1.M.ER3.R.I3
Tourist	TU.U1.RU.EI4.S.IH5.T
黃玠瑋	HU.AG2.JI.IE4.W.EI3
Yoga Mr Sound	Y.OU1.G.A1.MI.I1.S.T.ER5.S.AN4.D
Marc Scibilia	M.A4.K.E5.S.ER5.BI.I1.LI.I3.Y.A5
張敬軒	ZH.AG1.JI.IG4.XU.AN1
Herbie Hancock	H.IH4.BI.I1.H.AI3.N.K.A3.K.E5
BLACKPINK	BU.U2.L.A4.K.E5.PI.IN3.K.E5
Shaun Frank	SH.AG1.F.RU.AN3.K.E5
A Tribe Called Quest	GS.ER2.ZHU.AI1.BU.U4.K.OU3.K.RU.EI4.S.T
Stan Getz	S.IH5.D.AN1.JI.IE3.S
Moby	M.OU1.BI.I3
Ricky Martin	RU.EI4.XI.IG1.M.A3.DI.IG4
Elohim	GS.EI2.L.OU5.H.EI4.M
Sasha Sloan	S.A1.SH.A3.S.IH5.L.OU4
Paris Hilton	P.A1.LI.I3.S.H.EI1.T.EN3
Sinéad O'Connor	XU.IN4.N.EI3.GS.OU1.K.AN1.D.ER3
Peggy Lee	P.EI4.K.I1.LI.I3
Gareth Gates	G.A1.R.R.E3.S.G.EI4.C
Kisum	K.I1.S.A3.M
Daryl Hall & John Oates	DI.IE1.R.OU3.H.OU4.ZHU.OG4.GS.OU4.C.IH5
Theory of a Deadman	S.I1.R.I3.GS.O3.F.U5.GS.E3.DI.IE4.D.E5.M.EN3
謝春花	XI.IE4.CHU.UN1.HU.A1
Joe Bongiorno	JI.OU2.B.AG1.JI.I1.W.O1.N.OU3
The Goo Goo Dolls	R.E4.GU.U1.GU.U1.D.O4.S
S.H.E	GS.EI2.S.IH5.GS.EI2.QU.YU5.Y.I4
Redfoo	RU.EI1.F.U3
Beauvois	B.ER5.F.U5.GS.A5
Birdy	B.ER5.DI.I3
Lilly Wood & The Prick	NI.I2.LI.I1.W.O3.R.XI.IE3.GS.EI2.NI.I3.D.E5.P.EI4.T.ER5
Toro y Moi	TU.O1.R.OU3.Y.I2.M.O1.Y.I2
陶晶瑩	T.AO2.JI.IG1.Y.IG2
SEKAI NO OWARI	XI.IE4.K.AI4.N.E5.GS.OU5.W.A1.Y.OU2.R.I3
曹格	C.AO2.G.E2
水瀨祈	SHU.EI3.L.AI4.QI.I2
MACO	GS.EN1.BI.EI1.XI.I1.GS.OU1
NYCYPCD	GS.EN1.W.AI1.XI.I1.AI1.PI.I4.XI.I1.DI.I1
Loud Luxury	L.AO2.D.E5.L.A1.XU.IE3.R.IH3
Band of Horses	BI.AN4.D.E5.GS.O3.F.U5.HU.O4.S.S.IH5
Crystal Castles	KU.EI1.S.IH5.T.OU3.K.A4.S.T.OU3.S.IH5
Lil Dicky	L.EI4.GS.OU1.DI.I3.K.I3
原子邦妮	YU.AN2.Z.IH3.B.AG1.NI.I2
ピアノ 胎教 音楽 Masters	T.AI1.JI.AO4.Y.IN1.YU.IE4.M.EI1.S.IH5.T.E3.S
成公亮	CH.EG2.GU.OG1.LI.AG4
張鎬哲	ZH.AG1.H.AO4.ZH.E2
R.E.M.	GS.A3.R.Y.I1.GS.EI4.M
Michele McLaughlin	NI.I2.XI.AO1.M.EI2.BU.U2.L.A1.F.EN3
盧冠廷	LU.U2.GU.AN4.TI.IG2
陳潔儀	CH.EN2.JI.IE2.Y.I2
Becky G	BI.EI1.K.I1.JI.I4
孫楠	SU.UN1.N.AN2
G-Eazy	JI.I1.Y.I1.XI.I3
N.W.A.	GS.AN1.D.A1.BU.O5.LI.OU3.GS.EI4.LI.I3
VOCES8	W.O4.Y.I1.XI.IE3.S.IH5.GS.EI4.T.ER5
Robbie Williams	W.O3.Y.AO4.BI.I3.W.EI1.L.EN3.S
Nathan Sykes	NI.IE4.F.EN5.S.AI4.K.S.IH5
The Staves	L.E4.S.D.EI4.K.E5.S
Wyclef Jean	W.AI1.K.LI.IE4.F.JI.IN4
Tom Misch	T.AG2.M.EI3.S.IH5
黃品源	HU.AG2.PI.IN3.YU.AN2
Frenship	F.EN1.XI.I4
朱宗慶打擊樂團	ZHU.U1.ZU.OG1.QI.IG4.D.A3.JI.I2.YU.IE4.TU.AN2
Kasbo	K.IE1.S.IH5.BU.OU3
Kehlani	K.L.A1.NI.I3
White Noise	W.AI4.T.E5.NU.O1.S.IH5
The Game	R.E4.G.EI4.M
Carpenters	K.A3.P.EN3.T.ER3.S.IH5
Nursery Rhymes	N.A4.S.IH5.RU.I3.R.GS.AI4.M.S
Helloween	H.EI1.L.OU1.W.I4.N
Buddy	B.A1.DI.I3
Vancouver Sleep Clinic	F.EG4.KU.U4.F.ER3.S.IH5.K.E5.Y.I1.P.KU.EI1.L.EI3.G.E5
金池	JI.IN1.CH.IH2
何真真	H.E2.ZH.EN1.ZH.EN1
Camila Cabello	K.E3.MI.AO1.L.A1.K.E3.BI.EI1.GS.OU3
馬頔	M.A3.DI.I2
Yasutaka Nakata	Y.A3.XU.YU1.K.EI1.K.A3.N.A3.K.A1.T.A3
竇靖童	D.OU4.JI.IN4.TU.OG2
Camera Obscura	K.EI1.M.ER3.R.AN3.GS.A1.P.S.IH5.K.YU1.RU.A5
Park Kyung	P.A1.BI.I3.K.I4.GS.OG3
Lasse Lindh	L.A4.S.LI.IN2.K.T
Bruno Major	BU.U2.RU.U4.N.OU4.M.EI1.ZH.ER3
潘美辰	P.AN1.M.EI3.CH.EN2
Foster the People	F.O1.S.T.ER3.D.E5.PI.I1.P.OU3
熊仔	XI.OG2.Z.AI3
傷心欲絕	SH.AG1.XI.IN1.YU.YU4.JU.IE2
Avicii	GS.A3.F.I1.QI.I3
Teriyaki Boyz	TI.AN1.R.I4.Y.A1.K.I3.BU.O3.Y.I5
Don Diablo	DU.OG1.DI.I3.Y.A1.BU.U4.L.OU2
HELLOVENUS	H.A1.L.OU5.F.I1.N.A3.S.IH3
Aminé	GS.A1.MI.I1.N.EI4
Anita Baker	GS.EN3.NI.I4.T.A3.BI.EI1.K.E3
The New Barden Bellas	NI.I3.R.E5.NI.OU1.B.A1.R.EN3.BI.AO1.L.A3.S
Chris Hart	K.R.I4.S.H.A4.R.T
Daughter	DU.O1.T.ER5
陳綺貞	CH.EN2.QI.I3.ZH.EN1
Jason Piano	ZH.EI1.S.EN3.PI.I1.GS.A1.NU.OG2
Anne Murray	GS.EI4.M.ER3.R.I3
Dustin O'Halloran	D.A1.S.IH5.TI.IN3.GS.OU4.H.A1.L.OU4.R.EN3
Lulu黃路梓茵	LU.U4.LU.U3.HU.AG2.LU.U4.Z.IH3.Y.IN1
Barry Chen	BI.IE1.LI.I3.QI.AN4
Dean Martin	DI.IN4.M.A1.TI.IN3
陳冠希	CH.EN2.GU.AN4.XI.I1
Trinix	QU.EI1.N.EI3.K.E5.S.IH5
Alessio Bax	GS.A3.L.EI1.XI.IE3.GS.OU3.BI.IE4.P.S
唐禹哲	P.AG2.YU.YU3.ZH.E2
Tamara-Anna Cislowska	T.A1.M.A1.RU.A3.GS.EN1.N.A3.SHU.EI2.S.IH5.LU.U4.S.IH5.K.A3
All Time Low	GS.OU4.T.AI4.M.L.OU1
熊天平	XI.OG2.TI.AN1.PI.IG2
Malia Civetz	M.A1.LI.I3.GS.EI2.S.I1.BI.EI3.Z.IH5
Gustavo Santaolalla	GU.U1.S.IH5.D.A1.F.U5.XI.AN1.CH.A1.L.AI4.Y.A3
魏如萱	W.EI4.RU.U2.XU.AN1
Mike Posner	M.AI4.K.E5.P.A1.S.N.ER3
Paige O'Hara	P.EI4.QU.YU5.GS.OU4.H.A1.RU.A3
曾淑勤	Z.EG1.SHU.U2.QI.IN2
Sakurako Ohara	S.A1.KU.U3.L.A1.K.OU3.GS.OU1.H.A1.R.GS.A3
Study Now	S.IH5.D.A2.DI.I3.N.AO4
吳映潔	W.U2.Y.IN4.JI.IE2
Ben Howard	BI.AN1.H.AO3.W.O4.GS.ER3
Cosmic Gate	K.OU1.S.IH5.NI.I3.G.EI4.T
naomi & goro	N.A4.W.OU3.MI.I4.GS.EI2.D.A1.L.E5
柯智棠	K.E1.ZH.IH4.T.AG2
Holland	H.A1.L.EG3.D.E5
黃露儀	HU.AG2.LU.U4.Y.I2
J.Sheon	JI.IE2.XU.YU4.GS.OU3
Wee Sing	W.I1.XI.I4.M
Daniil Trifonov	DI.AN1.NI.GS.OU3.T.LI.I1.F.OU3.N.OU4.F
JUNHO	JI.OU1.H.AO4
崔健	CU.EI1.JI.AN4
吳思賢	W.U2.S.IH1.XI.AN2
Isabelle Faust	Y.I1.S.A1.BI.EI4.GS.OU3.F.OU1.S.T
Ben Webster	BI.AN3.W.EI1.P.S.T.ER5
Not3s	N.OU4.C.IH5
Itmusicstudio	Y.I4.T.MI.OU1.XI.I1.K.S.DU.U1.DI.I3.GS.OU3
André Rieu	GS.AG1.JU.IN1.RU.EI1.NI.I3
Al Jarreau	GS.EI1.GS.OU3.JI.A1.R.OU3
Heitor Pereira	GS.EI1.S.IH5.T.O4.GS.ER3.P.R.RU.EI4.RU.A3
Tiger JK	T.AI4.G.A3.ZH.EI1.K.EI4
Elis Regina	Y.I1.LI.I2.S.IH5.BU.U4.RU.EI4.QI.I1.N.A3
NAO	N.A1.GS.OU3
Thomas Bergersen	T.A1.M.A3.S.IH3.BU.ER3.D.E5.S.EN3
Joshua Hyslop	JI.A1.XI.I1.W.AI4.F.I1.S.IH5.L.OU3.S
Prelow	P.R.I3.L.OU4
大支	D.A4.ZH.IH1
SBTRKT	SH.A1.B.E5.CHU.U1.L.A4.K.E5
Tori Amos	TU.O1.R.Y.I3.GS.EI1.MU.O3.S
薛嘯秋	XU.IE1.XI.AO4.QI.OU1
邱振哲	QI.OU1.ZH.EG4.ZH.E2
bülow	YU.YU1.L.OU3
蔡淳佳	C.AI4.CHU.UN2.JI.A1
Kacey Musgraves	K.EI1.XI.I3.M.A1.S.IH5.K.RU.EI4.S
吳汶芳	W.U2.W.EN4.F.AG1
Poppin'Party	P.A1.PI.IN3.P.A1.TI.I3
Garbage	G.A1.DI.I3.JU.YU3
Tuxedo	T.A1.K.E5.S.I1.D.OU3
Flosstradamus	F.U2.L.A1.S.SU.UN3.D.EI1.M.EN5.S
信樂團	XI.IN4.YU.IE4.TU.AN2
Suyano	SU.U1.Y.A1.N.OU3
張三李四	ZH.AG1.S.AN1.LI.I3.S.IH4
崔子格	CU.EI1.Z.IH3.G.E2
Carla Bruni	K.A1.L.A1.BU.U2.M.ER3.LI.IN3
Mario	M.A1.R.Y.OU3
劉佳	LI.OU2.JI.A1
SPYAIR	S.IH5.B.AI4.GS.EI1.GS.ER3
Olivia Newton-John	GS.OU3.LI.I1.W.I3.Y.A3.NI.I1.W.U1.T.EN3.JI.AG4
miss A	MI.I1.S.IH5.GS.AI3
Deep Purple	DI.I4.P.P.ER5.P.OU5
Lou Bega	LU.U4.BI.EI1.G.A3
Etta James	GS.EI1.T.A3.JU.IE3.Y.I2.P.S
莊鵑瑛	ZHU.AG1.JU.AN1.Y.IN1
約書亞樂團	YU.IE1.SHU.U1.Y.A3.YU.IE4.TU.AN2
Laura Marling	LU.O1.RU.A3.M.A1.LI.IG3
周湯豪	ZH.OU1.T.AG1.H.AO2
蕭亞軒	XI.AO1.Y.A3.XU.AN1
林志炫	LI.IN2.ZH.IH4.XU.AN4
張惠妹	ZH.AG1.HU.EI4.M.EI4
五月天	W.U3.YU.IE4.TI.AN1
宇多田光	YU.YU3.DU.O1.TI.AN2.GU.AG1
周杰倫	ZH.OU1.JI.IE2.LU.UN2
Craig David	KU.U2.RU.EI4.G.E5.D.EI1.W.I3.D.E5
GFriend	JI.I1.F.U2.L.EI4.M
防彈少年團	F.AG2.D.AN4.SH.AO4.NI.AN2.TU.AN2
宋旻浩	SU.OG4.MI.IN3.H.AO4
Selena Gomez	S.E3.LI.I4.N.A3.G.OU1.M.EI2
Charli XCX	QI.A1.L.E5.LI.I3.GS.EI4.K.S.IH5.XI.IE3.XI.I1.XI.IE3.GS.EI2.K.S
Kygo	K.I1.G.OU3
張懸	ZH.AG1.XU.AN2
徐佳瑩	XU.YU2.JI.A1.Y.IG2
Taylor Swift	T.EI1.L.A3.S.IH5.W.EI4.F.U5
Ariana Grande	GS.A1.R.I3.GS.A1.N.A4.GU.AN1.D.EI3
Demi Lovato	DI.AN2.MI.I3.L.E3.F.A1.Z.OU3
少女時代	SH.AO4.NYU.YU3.SH.IH2.D.AI4
林俊傑	LI.IN2.JU.IN4.JI.IE2
BIGBANG	BI.I1.G.BI.AN4
Sofi Tukker	S.AO3.BI.I4.TU.U1.K.E5
宇宙人	YU.YU3.ZH.OU4.R.EN2
Calvin Harris	K.YU4.F.EN3.H.AN4.R.E3.S.IH5
The Chainsmokers	Y.OU2.QI.AN1.SH.EN3.M.E5.K.E3.S
Ed Sheeran	GS.EI4.XU.YU1.L.EG3
Bruno Mars	BU.U2.LU.O1.M.A4.S
黃明志	HU.AG2.MI.IN2.JU.YU4
KARD	K.EI4.GS.EI1.GS.A1.DI.I4
Meghan Trainor	M.EI3.G.EG1.CHU.EI1.N.A3
袁婭維	YU.AN2.Y.A3.W.EI2
ALMA	GS.EI2.L.AO2.M.A3
楊丞琳	Y.AG2.CH.EG2.LI.IN2
Rachel Platten	RU.EI4.QI.OU1.P.L.AN4.T.EG2
MAMAMOO	M.A1.M.A3.MU.U4
MAGIC!	M.EI2.JU.YU4.K.E5
Childish Gambino	QI.AO1.DI.I3.XU.YU3.G.AN1.BI.IG4.N.OU3
Liam Payne	LI.I1.Y.AN4.P.EI2.NI.I3
Red Velvet	RU.EI1.D.E5.L.EI1.F.U5.L.EI3.T.E5
HEIZE	H.EI1.JI.IE5
范瑋琪	F.AN4.W.EI3.QI.I2
小賈斯汀	XI.AO2.JI.A3.S.IH1.DI.IG1
蔡健雅	C.AI4.JI.AN4.Y.A3
Charlie Puth	QI.AO3.NYU.YU3.KU.U4.S
二珂	GS.E4.K.E1
鄧紫棋	D.EG4.Z.IH3.QI.I2
梁靜茹	LI.AG2.JI.IG4.RU.U2
陳奕迅	CH.EN2.Y.I4.XU.IN4
Jason Derulo	JI.IE1.S.EN3.D.E5.RU.U1.L.OU3
James Bay	JI.AN1.S.BI.EI4
劉若英	LI.OU2.RU.O4.Y.IG1
滅火器	MI.IE4.HU.O3.QI.I4
DEAN	DI.IN4
方大同	F.AG1.D.A4.TU.OG2
TWICE	P.L.AI4.S.IH5
Kendrick Lamar	G.AN1.ZHU.U3.Y.I3.N.A3.M.A3
WINNER	W.I1.N.N.ER3
太妍	T.AI4.Y.IE2
郭頂	GU.O1.DI.IG3
Clean Bandit	K.LI.IN1.BI.AN1.DI.IE5
EXID	Y.I1.GS.EI2.S.IH5.GS.AI1.DI.I4
Rihanna	R.I3.HU.A1.N.AO3
Bebe Rexha	BI.I1.BI.I3.RU.EI1.S.A3
One Direction	W.AN4.D.ER3.RU.EI1.SH.EN3
孫燕姿	SU.UN1.Y.AN4.Z.IH1
尹美萊	Y.IN3.M.EI3.L.AI2
Maroon 5	M.E5.RU.UN4.F.A3.Y.I2
Imagine Dragons	Y.IG2.M.EI1.JI.IG1.ZH.EI1.G.AG3.S
Sam Smith	S.AN4.MU.U5.S.IH5.MI.I4.S.IH5
兄弟本色	XI.OG1.DI.I4.BI.EN3.S.E4
李宗盛	LI.I3.ZHU.OG1.SH.EG4
葛仲珊	G.E3.ZHU.OG4.SH.AN1
SISTAR	GS.EI2.S.IH5.GS.AI4.GS.EI2.S.IH5.TI.I4.GS.EI4.GS.A1
Major Lazer	M.EI1.JI.OU4.L.EI1.S.ER3
Mark Ronson	M.A1.GS.ER5.RU.AN1.S.EN3
Adele	GS.ER2.D.EI4.GS.OU5
TAEMIN	T.AI2.Y.I4.MI.IN3
Justin Hurwitz	JI.A1.S.DI.IG1.H.E1.RU.I3.CH.IH5
Avril Lavigne	GS.EI1.M.ER3.R.E5.L.AI2.BI.IG4
Ellie Goulding	GS.EI1.LI.I3.GU.U1.DI.IG3
潘瑋柏	P.AN1.W.EI3.BU.O2
Dizzy Dizzo	DI.I1.XI.I3.DI.I1.S.E3
CHUNG HA	QI.IG1.H.E2
Jessica	JI.IE1.XI.I3.K.A3
Shawn Mendes	XI.AG1.M.MI.AN1.D.E5.S.IH5
洪佩瑜	HU.OG2.P.EI4.YU.YU2
玖壹壹	JI.OU3.Y.I1.Y.I1
Post Malone	HU.A2.S.IH5.T.AI4.M.EG2.NU.OG4
EXO	Y.I1.GS.EI4.K.S.GS.OU1
蔡依林	C.AI4.Y.I1.LI.IG2
Alan Walker	GS.A1.LU.UN3.W.O1.K.ER3
樂童音樂家	L.E4.TU.OG2.Y.IN1.YU.IE4.JI.A1
Adam Levine	GS.EI2.D.E5.NI.I3.D.E5.LI.IG4
謝和弦	XI.IE4.H.E2.XU.AN2
INFINITE	Y.IG1.F.EN1.NI.I3.T.ER3
Jax Jones	JI.A4.K.E5.S.ZHU.OG4.S.IH5
寶兒	B.AO3.GS.ER2
張宇	ZH.AG1.YU.YU3
K.Will	K.EI1.W.EI4.GS.OU5
DJ Khaled	DI.I2.ZH.EI1.K.OU1.L.EI4.M
頑童MJ116	W.AN2.TU.OG2.GS.EI4.M.JI.IE2.Y.I1.Y.I1.LI.OU3
岑寧兒	CH.EN2.NI.IG2.GS.E2
周興哲	ZH.OU1.XI.IG1.ZH.E2
薛之謙	XU.IE1.ZH.IH1.QI.AN1
Alessia Cara	GS.A1.L.EI1.S.IH5.Y.A3.K.A4.L.A3
草東沒有派對	C.AO3.DU.OG1.M.EI2.Y.OU3.P.AI4.DU.EI4
蘇打綠	SU.U1.D.A3.LYU.YU4
Ailee	GS.AI1.LI.I4
Alicia Keys	GS.ER2.LI.I2.XI.A4.TI.I4.S
李榮浩	LI.I3.R.OG2.H.AO4
I.O.I	GS.AI4.GS.OU1.GS.AI4
田馥甄	TI.AN2.F.U4.ZH.EN1
王力宏	W.AG2.LI.I4.HU.OG2
王詩安	W.AG2.SH.IH1.GS.AN1
李聖傑	LI.I3.SH.EG4.JI.IE2
林憶蓮	LI.IN2.Y.I4.LI.AN2
HYUKOH	K.L.OU4.K.OU3
Coldplay	K.OU3.P.L.EI3
彭佳慧	P.EG2.JI.A1.HU.EI4
Auli'i Cravalho	GS.OU3.LI.I4.Y.I1.KU.A3.B.A1.HU.OG4
好樂團	H.AO3.YU.IE4.TU.AN2
YUKA	Y.OU1.K.A3
艾怡良	GS.AI4.Y.I2.LI.AG2
小宇-宋念宇	XI.AO2.YU.YU3.SU.OG4.NI.AN4.YU.YU3
Justin Timberlake	JI.A1.S.TI.IN1.TI.I1.M.B.ER3.L.EI3.K
太陽	T.AI4.Y.AG2
張信哲	ZH.AG1.XI.IN4.ZH.E2
Girl's Day	Y.OU1.S.IH5.D.EI4
NU’EST W	NI.OU2.GS.EI2.K.E5.S.D.E5.D.E5.F.Y.OU2
Alesso	GS.A1.L.E5.SH.OU4
董貞	DU.OG3.ZH.EN1
張韶涵	ZH.AG1.ZH.AO1.H.AN2
John Legend	JI.AG3.L.EI4.JU.AN3.Z.IH5
郁可唯	YU.YU4.K.E3.W.EI2
Wanna One	W.A5.N.A4.W.AN4
Lauv	N.OU4.BI
Lady Gaga	L.EI1.DI.I1.G.A1.G.A3
LINKIN PARK	LI.IG4.K.EN3.P.A4.K.E5
Rixton	RU.EI1.S.IH5.T.EN3
Beyond	BI.I3.Y.AG4
綺拉·奈特莉	QI.I2.L.A5.N.AI4.T.E4.LI.I4
林芯儀	LI.IN2.XI.IN1.Y.I2
A-Lin	GS.A3.LI.IN4
陳星翰	QU.AN2.XI.IN1.H.AN4
A Pink	GS.E3.PI.IN4.K.E5
家家	JI.A1.JI.A1
Julia Michaels	JI.OU1.R.I3.Y.A3.M.AI4.K.OU3.S
Katy Perry	K.EI1.TI.I1.P.EI2.R.I3
楊曉	Y.AG2.XI.AO3
泫雅	XU.AN4.Y.A3
王菲	W.AG2.F.EI1
吳亦凡	W.U2.Y.I4.F.AN2
楊宗緯	Y.AG2.ZU.OG1.W.EI3
華晨宇	HU.A2.CH.EG2.YU.YU3
莫文蔚	M.O4.W.EN2.W.EI4
蕭敬騰	XI.AO1.JI.IG4.T.EG2
江蕙	JI.AG1.HU.EI4
鼓鼓	W.U2.GU.U3
PRODUCE 101	P.OU3.DI.OU1.S.Y.AO1.LI.IG2.Y.AO1
陶喆	T.AO2.ZH.E2
李千娜	LI.I3.QI.AN1.N.A4
曾沛慈	Z.EG1.P.EI4.C.IH2
胡彥斌	HU.U2.Y.AN4.BI.IN1
SURAN	SH.IH1.W.U4.RU.AN3
Disciples	DI.I4.S.AI1.P.OU5.S
Drake	ZHU.EI4.K.E5
丁噹	DI.IG1.D.AG1
張震嶽	ZH.AG1.ZH.EN4.YU.IE4
Davichi	D.E5.F.I4.QI.I3
蕭煌奇	XI.AO1.HU.AG2.QI.I2
James Arthur	ZH.EI2.M.S.IH5.GS.ER5.S.D.ER3
Passenger	P.L.EI1.S.EN3.ZH.ER3
DJ Snake	DI.I1.ZH.EI1.S.IH5.N.EI4.K.E5
RADWIMPS	RU.EI4.D.E5.RU.EI4.M.P.S
David Guetta	D.EI1.F.I3.D.E5.G.I1.T.A3
Daya	D.A1.Y.A3
Jonas Blue	JI.OU1.N.A3.S.IH5.BU.U2.W.U4
朴樹	P.U3.SHU.U4
GOT7	G.A1.T.E3.S.EI1.F.EN3
SUNMI	S.AG1.MI.I3
Macklemore & Ryan Lewis	M.EI1.K.OU3.M.O4.GS.ER3.GS.EN1.RU.A1.Y.AN3.RU.U4.W.EI3.S.IH5
吳克群	W.U2.K.E4.QU.IN2
Crush	KU.A4.XU.YU3
文慧如	W.EN2.HU.EI4.RU.U2
Lana Del Rey	L.A1.N.A3.DI.AO4.RU.EI4
DNCE	DI.I4.Y.I1.GS.EN1.S.I1.Y.I4
B1A4	BI.I1.W.AN3.GS.EI1.F.OU3
Anne-Marie	GS.EI1.M.EN3.R.I4
OneRepublic	W.AN1.LI.I3.P.A1.B.LI.I3.K
茄子蛋	QI.IE2.Z.IH3.D.AN4
HENRY	H.EN1.R.I3
畢書盡	BI.I4.SHU.U1.JI.IN4
Sons of People	S.AN4.S.GS.OU4.F.U5.PI.I1.P.OU3
曲婉婷	QU.YU1.W.AN3.TI.IG2
莊心妍	ZHU.AG1.XI.IN1.Y.AN2
Ji-min	JI.I2.MI.IN3
BOL4	BI.I4.GS.OU1.W.EI3.LU.O2.HU.O4
P!nk	PI.IN3.K.E5
張學友	ZH.AG1.XU.IE2.Y.OU3
阿達	GS.A1.D.A2
La La Land Cast	N.A1.L.A1.L.EI1.D.E5.K.A4.S.T
Louis Tomlinson	RU.U2.Y.I1.S.IH5.T.AG1.MI.IG2.SH.EG1
Dynamic Duo	G.AI2.N.AI3.M.EI3.K.DU.U1.GS.OU5
2NE1	TU.U1.GS.EI4.NI.I3.W.AN3
AOA	GS.EI1.GS.OU1.GS.EI1
關喆	GU.AN1.ZH.E2
蜜雪兒威廉	MI.I4.XU.IE3.GS.ER2.W.EI1.LI.AN2
金鐘鉉	JI.IG1.ZHU.OG1.XU.AN4
Dua Lipa	DU.U4.GS.A3.LI.I1.P.A3
